"DCMTCODIGO";"INDOCODIGO";"MATCODIGO";"FAMCODIGO";"DCMTESTADO";"ANOCODIGO"
"320";"86";"107";"12";"1";"1"
"321";"94";"75";"11";"1";"1"
"322";"94";"103";"11";"1";"1"
"323";"94";"104";"11";"0";"1"
"324";"94";"105";"11";"1";"1"
"325";"94";"106";"12";"1";"1"
"326";"95";"116";"12";"1";"1"
"327";"95";"117";"12";"0";"1"
"328";"95";"118";"12";"1";"1"
"329";"98";"67";"10";"1";"1"
"330";"99";"95";"11";"1";"1"
"331";"99";"108";"12";"1";"1"
"332";"102";"110";"12";"1";"1"
"333";"102";"116";"12";"1";"1"
"334";"102";"117";"12";"0";"1"
"335";"102";"118";"12";"1";"1"
"336";"102";"124";"13";"1";"1"
"337";"102";"190";"17";"1";"1"
"338";"102";"205";"18";"1";"1"
"339";"105";"142";"14";"1";"1"
"340";"105";"154";"15";"1";"1"
"341";"105";"115";"12";"1";"1"
"342";"105";"191";"17";"1";"1"
"343";"105";"207";"18";"1";"1"
"344";"85";"122";"13";"1";"1"
"345";"85";"139";"14";"1";"1"
"346";"88";"4";"10";"1";"1"
"347";"88";"5";"10";"0";"1"
"348";"88";"6";"10";"1";"1"
"349";"88";"68";"10";"1";"1"
"350";"88";"96";"11";"1";"1"
"351";"88";"109";"12";"1";"1"
"352";"89";"124";"13";"1";"1"
"353";"89";"141";"14";"1";"1"
"354";"89";"159";"15";"1";"1"
"355";"64";"113";"12";"1";"1"
"356";"64";"116";"12";"1";"1"
"357";"64";"117";"12";"0";"1"
"358";"64";"118";"12";"1";"1"
"359";"64";"126";"13";"1";"1"
"360";"64";"144";"14";"1";"1"
"361";"64";"160";"15";"1";"1"
"362";"64";"173";"16";"1";"1"
"363";"64";"192";"17";"1";"1"
"364";"64";"215";"18";"1";"1"
"365";"35";"228";"13";"1";"1"
"366";"19";"167";"16";"1";"1"
"367";"19";"231";"14";"1";"1"
"368";"19";"155";"15";"1";"1"
"369";"19";"238";"18";"1";"1"
"370";"4";"103";"11";"1";"1"
"371";"4";"104";"11";"0";"1"
"372";"4";"105";"11";"1";"1"
"373";"20";"163";"15";"1";"1"
"374";"20";"164";"15";"0";"1"
"375";"20";"165";"15";"1";"1"
"376";"22";"116";"12";"1";"1"
"377";"22";"117";"12";"0";"1"
"378";"22";"118";"12";"1";"1"
"379";"24";"148";"14";"1";"1"
"380";"24";"149";"14";"0";"1"
"381";"24";"150";"14";"1";"1"
"382";"29";"132";"13";"1";"1"
"383";"29";"133";"13";"0";"1"
"384";"29";"134";"13";"1";"1"
"385";"35";"132";"13";"1";"1"
"386";"35";"133";"13";"0";"1"
"387";"35";"134";"13";"1";"1"
"388";"35";"185";"17";"1";"1"
"389";"35";"238";"18";"1";"1"
"390";"40";"4";"10";"1";"1"
"391";"40";"5";"10";"0";"1"
"392";"40";"6";"10";"1";"1"
"393";"52";"163";"15";"1";"1"
"394";"52";"164";"15";"0";"1"
"395";"52";"165";"15";"1";"1"
"396";"52";"231";"14";"1";"1"
"397";"52";"186";"17";"1";"1"
"398";"52";"237";"18";"1";"1"
"399";"67";"132";"13";"1";"1"
"400";"67";"133";"13";"0";"1"
"401";"67";"134";"13";"1";"1"
"402";"69";"232";"14";"1";"1"
"403";"69";"184";"17";"1";"1"
"404";"69";"236";"18";"1";"1"
"405";"79";"230";"13";"1";"1"
"406";"79";"143";"14";"1";"1"
"407";"79";"197";"17";"1";"1"
"408";"79";"233";"17";"1";"1"
"409";"84";"127";"13";"1";"1"
"410";"84";"145";"14";"1";"1"
"411";"84";"148";"14";"1";"1"
"412";"84";"149";"14";"0";"1"
"413";"84";"150";"14";"1";"1"
"414";"84";"71";"10";"1";"1"
"415";"84";"99";"11";"1";"1"
"416";"84";"112";"12";"1";"1"
"417";"22";"130";"13";"1";"1"
"418";"22";"131";"13";"1";"1"
"419";"22";"146";"14";"1";"1"
"420";"22";"147";"14";"1";"1"
"421";"22";"161";"15";"1";"1"
"422";"22";"162";"15";"1";"1"
"423";"22";"163";"15";"1";"1"
"424";"22";"164";"15";"0";"1"
"425";"22";"165";"15";"1";"1"
"426";"22";"179";"16";"1";"1"
"427";"22";"180";"16";"1";"1"
"428";"22";"217";"18";"1";"1"
"429";"3";"117";"12";"0";"1"
"430";"3";"118";"12";"1";"1"
"431";"11";"4";"10";"1";"1"
"432";"11";"5";"10";"0";"1"
"433";"11";"6";"10";"1";"1"
"434";"18";"4";"10";"1";"1"
"435";"18";"5";"10";"0";"1"
"436";"18";"70";"10";"0";"1"
"437";"19";"148";"14";"1";"1"
"438";"19";"149";"14";"0";"1"
"439";"19";"150";"14";"1";"1"
"440";"25";"121";"13";"1";"1"
"441";"25";"168";"16";"1";"1"
"442";"25";"181";"16";"1";"1"
"443";"25";"182";"16";"0";"1"
"444";"25";"183";"16";"1";"1"
"445";"25";"138";"14";"1";"1"
"446";"25";"234";"15";"1";"1"
"447";"25";"235";"18";"1";"1"
"448";"25";"158";"15";"1";"1"
"449";"28";"67";"10";"1";"1"
"450";"28";"95";"11";"1";"1"
"451";"28";"103";"11";"1";"1"
"452";"28";"104";"11";"0";"1"
"453";"28";"105";"11";"1";"1"
"454";"28";"108";"12";"1";"1"
"455";"30";"115";"12";"1";"1"
"456";"30";"227";"13";"0";"1"
"457";"30";"225";"16";"0";"1"
"458";"30";"142";"14";"1";"1"
"459";"30";"148";"14";"1";"1"
"460";"30";"149";"14";"0";"1"
"461";"30";"150";"14";"1";"1"
"462";"30";"154";"15";"1";"1"
"463";"30";"207";"18";"1";"1"
"464";"40";"106";"12";"1";"1"
"465";"41";"73";"10";"1";"1"
"466";"41";"101";"11";"1";"1"
"467";"41";"114";"12";"1";"1"
"468";"41";"116";"12";"1";"1"
"469";"41";"117";"12";"0";"1"
"470";"41";"118";"12";"1";"1"
"471";"44";"71";"10";"1";"1"
"472";"44";"99";"11";"1";"1"
"473";"44";"103";"11";"1";"1"
"474";"44";"104";"11";"0";"1"
"475";"44";"105";"11";"1";"1"
"476";"44";"112";"12";"1";"1"
"477";"44";"127";"13";"1";"1"
"478";"44";"174";"16";"1";"1"
"479";"44";"145";"14";"1";"1"
"480";"46";"106";"12";"1";"1"
"481";"46";"122";"13";"1";"1"
"482";"50";"96";"11";"1";"1"
"483";"50";"109";"12";"1";"1"
"484";"50";"116";"12";"1";"1"
"485";"50";"117";"12";"0";"1"
"486";"50";"118";"12";"1";"1"
"487";"50";"121";"13";"1";"1"
"488";"59";"110";"12";"1";"1"
"489";"59";"116";"12";"1";"1"
"490";"59";"117";"12";"0";"1"
"491";"59";"118";"12";"1";"1"
"492";"59";"124";"13";"1";"1"
"493";"60";"107";"12";"1";"1"
"494";"60";"123";"13";"1";"1"
"495";"60";"132";"13";"1";"1"
"496";"60";"133";"13";"0";"1"
"497";"60";"134";"13";"1";"1"
"498";"60";"140";"14";"1";"1"
"499";"60";"170";"16";"1";"1"
"500";"61";"69";"10";"1";"1"
"501";"61";"97";"11";"1";"1"
"502";"65";"74";"10";"1";"1"
"503";"65";"102";"11";"1";"1"
"504";"67";"140";"14";"1";"1"
"505";"67";"152";"15";"1";"1"
"506";"67";"157";"15";"1";"1"
"507";"67";"204";"18";"1";"1"
"508";"69";"119";"13";"1";"1"
"509";"69";"166";"16";"1";"1"
"510";"69";"148";"14";"1";"1"
"511";"69";"149";"14";"0";"1"
"512";"69";"150";"14";"1";"1"
"513";"105";"227";"13";"1";"1"
"514";"105";"218";"18";"1";"1"
"515";"105";"219";"18";"0";"1"
"516";"105";"220";"18";"1";"1"
"517";"72";"94";"11";"1";"1"
"518";"72";"103";"11";"1";"1"
"519";"72";"104";"11";"0";"1"
"520";"72";"105";"11";"1";"1"
"521";"72";"107";"12";"1";"1"
"522";"75";"171";"16";"1";"1"
"523";"75";"141";"14";"1";"1"
"524";"75";"159";"15";"1";"1"
"525";"75";"205";"18";"1";"1"
"526";"67";"163";"15";"1";"1"
"527";"67";"164";"15";"0";"1"
"528";"67";"165";"15";"1";"1"
"529";"74";"169";"16";"1";"1"
"530";"74";"139";"14";"1";"1"
"531";"74";"151";"15";"1";"1"
"532";"74";"203";"18";"1";"1"
"533";"80";"230";"13";"1";"1"
"534";"80";"222";"16";"1";"1"
"535";"80";"226";"16";"1";"1"
"536";"80";"132";"13";"1";"1"
"537";"80";"133";"13";"0";"1"
"538";"80";"134";"13";"1";"1"
"539";"80";"229";"13";"1";"1"
"540";"80";"143";"14";"1";"1"
"541";"80";"221";"14";"1";"1"
"542";"93";"113";"12";"1";"1"
"543";"93";"126";"13";"1";"1"
"544";"93";"173";"16";"1";"1"
"545";"93";"144";"14";"1";"1"
"546";"93";"161";"15";"0";"1"
"547";"93";"160";"15";"1";"1"
"548";"93";"215";"18";"1";"1"
"549";"48";"177";"16";"1";"1"
"550";"48";"178";"16";"1";"1"
"551";"48";"209";"18";"1";"1"
"552";"48";"210";"18";"1";"1"
"553";"48";"211";"18";"1";"1"
"554";"48";"213";"18";"1";"1"
"555";"48";"214";"18";"1";"1"
"556";"48";"218";"18";"1";"1"
"557";"48";"219";"18";"0";"1"
"558";"48";"220";"18";"1";"1"
"559";"41";"200";"17";"1";"1"
"560";"41";"201";"17";"0";"1"
"561";"41";"202";"17";"1";"1"
"562";"111";"108";"12";"1";"1"
"563";"111";"132";"13";"1";"1"
"564";"111";"133";"13";"0";"1"
"565";"111";"134";"13";"1";"1"
"566";"111";"228";"13";"1";"1"
"567";"111";"224";"16";"0";"1"
"568";"111";"136";"14";"1";"1"
"569";"111";"156";"15";"1";"1"
"570";"111";"237";"18";"1";"1"
"571";"18";"6";"10";"1";"1"
"572";"111";"223";"16";"1";"1"
"573";"48";"194";"17";"1";"1"
"574";"48";"196";"17";"1";"1"
"575";"48";"208";"18";"1";"1"
"576";"85";"132";"13";"1";"1"
"577";"85";"133";"13";"0";"1"
"578";"85";"134";"13";"1";"1"
"579";"89";"148";"14";"1";"1"
"580";"89";"149";"14";"0";"1"
"581";"89";"150";"14";"1";"1"
"582";"112";"127";"13";"1";"1"
"583";"25";"187";"17";"1";"1"
"584";"3";"4";"10";"0";"1"
"585";"3";"5";"10";"0";"1"
"586";"3";"6";"10";"0";"1"
"587";"3";"116";"12";"1";"1"
"588";"98";"5";"10";"1";"1"
"589";"92";"5";"10";"1";"1"
"590";"92";"104";"11";"1";"1"
"591";"92";"117";"12";"1";"1"
"592";"33";"117";"12";"1";"1"
"593";"33";"133";"13";"1";"1"
"594";"12";"149";"14";"1";"1"
"595";"12";"164";"15";"1";"1"
"596";"12";"201";"17";"1";"1"
"597";"12";"219";"18";"1";"1"
"598";"17";"76";"4";"1";"1"
"599";"17";"77";"5";"1";"1"
"600";"17";"78";"6";"1";"1"
"601";"17";"79";"7";"1";"1"
"602";"17";"80";"8";"1";"1"
"603";"17";"81";"9";"1";"1"
"604";"1";"76";"4";"1";"1"
"605";"1";"77";"5";"1";"1"
"606";"1";"78";"6";"1";"1"
"607";"1";"79";"7";"1";"1"
"608";"1";"80";"8";"1";"1"
"609";"1";"81";"9";"1";"1"
"610";"43";"5";"10";"1";"1"
"611";"43";"104";"11";"1";"1"
"612";"43";"117";"12";"1";"1"
"613";"43";"182";"16";"1";"1"
"614";"12";"104";"11";"1";"1"
"615";"12";"117";"12";"1";"1"
"616";"43";"133";"13";"1";"1"
"617";"79";"229";"13";"1";"1"
"618";"115";"69";"10";"1";"1"
"619";"115";"63";"9";"1";"1"
"620";"115";"53";"8";"1";"1"
"621";"115";"93";"9";"1";"1"
"622";"107";"11";"4";"1";"1"
"623";"107";"21";"5";"1";"1"
"624";"107";"31";"6";"1";"1"
"625";"107";"41";"7";"1";"1"
"626";"107";"51";"8";"1";"1"
"627";"107";"61";"9";"1";"1"
"628";"81";"86";"8";"1";"1"
"629";"116";"229";"13";"1";"1"
"630";"116";"230";"13";"1";"1"
"631";"116";"143";"14";"1";"1"
"632";"116";"221";"14";"1";"1"
"633";"116";"233";"17";"1";"1"
"634";"115";"87";"9";"1";"1"
"635";"116";"197";"17";"1";"1"
"636";"72";"123";"13";"1";"1"
"637";"72";"116";"12";"1";"1"
"638";"81";"92";"8";"1";"1"
"639";"30";"5";"10";"1";"1"
"640";"30";"104";"11";"1";"1"
"641";"30";"133";"13";"1";"1"
"642";"30";"182";"16";"1";"1"
"643";"29";"115";"12";"1";"1"
"644";"29";"227";"13";"1";"1"
"645";"29";"225";"16";"1";"1"
"646";"29";"142";"14";"1";"1"
"647";"29";"148";"14";"1";"1"
"648";"29";"150";"14";"1";"1"
"649";"29";"207";"18";"1";"1"
"650";"29";"154";"15";"1";"1"
"651";"72";"118";"12";"1";"1"
"652";"117";"71";"10";"1";"1"
"653";"117";"99";"11";"1";"1"
"654";"117";"112";"12";"1";"1"
"655";"117";"127";"13";"1";"1"
"656";"118";"96";"11";"1";"1"
"657";"118";"109";"12";"1";"1"
"658";"118";"121";"13";"1";"1"
"659";"118";"118";"12";"1";"1"
"660";"119";"17";"5";"1";"1"
"661";"119";"18";"5";"1";"1"
"662";"119";"19";"5";"1";"1"
"663";"119";"20";"5";"1";"1"
"664";"119";"21";"5";"1";"1"
"665";"119";"22";"5";"1";"1"
"666";"119";"24";"5";"1";"1"
"667";"119";"77";"5";"1";"1"
"668";"119";"83";"5";"1";"1"
"669";"119";"89";"5";"1";"1"
"670";"118";"116";"12";"1";"1"
"671";"120";"140";"14";"1";"1"
"672";"120";"152";"15";"1";"1"
"673";"120";"204";"18";"1";"1"
"674";"26";"27";"6";"1";"2"
"675";"26";"28";"6";"1";"2"
"676";"26";"29";"6";"1";"2"
"677";"26";"30";"6";"1";"2"
"678";"26";"84";"6";"1";"2"
"679";"26";"90";"6";"1";"2"
"680";"3";"70";"10";"1";"2"
"681";"3";"98";"11";"1";"2"
"682";"14";"76";"4";"1";"2"
"683";"14";"77";"5";"1";"2"
"684";"14";"78";"6";"1";"2"
"685";"14";"79";"7";"1";"2"
"686";"14";"80";"8";"1";"2"
"687";"14";"81";"9";"1";"2"
"688";"1";"76";"4";"1";"2"
"689";"1";"77";"5";"1";"2"
"690";"1";"78";"6";"1";"2"
"691";"1";"79";"7";"1";"2"
"692";"1";"80";"8";"1";"2"
"693";"1";"81";"9";"1";"2"
"694";"130";"122";"13";"1";"2"
"695";"130";"169";"16";"1";"2"
"696";"130";"139";"14";"1";"2"
"697";"131";"5";"10";"1";"2"
"698";"131";"104";"11";"1";"2"
"699";"131";"117";"12";"1";"2"
"700";"43";"117";"12";"1";"2"
"701";"43";"133";"13";"1";"2"
"702";"43";"182";"16";"1";"2"
"703";"12";"137";"14";"0";"2"
"704";"12";"201";"17";"1";"2"
"705";"12";"164";"15";"1";"2"
"706";"12";"219";"18";"1";"2"
"707";"12";"149";"14";"1";"2"
"708";"22";"130";"13";"1";"2"
"709";"22";"131";"13";"1";"2"
"710";"22";"179";"16";"1";"2"
"711";"22";"180";"16";"1";"2"
"712";"22";"146";"14";"1";"2"
"713";"22";"147";"14";"1";"2"
"714";"22";"148";"14";"1";"2"
"715";"22";"150";"14";"1";"2"
"716";"22";"198";"17";"1";"2"
"717";"22";"199";"17";"1";"2"
"718";"22";"161";"15";"1";"2"
"719";"22";"162";"15";"1";"2"
"720";"132";"67";"10";"1";"2"
"721";"132";"95";"11";"1";"2"
"722";"132";"108";"12";"1";"2"
"723";"132";"103";"11";"1";"2"
"724";"132";"105";"11";"1";"2"
"725";"133";"139";"14";"0";"2"
"726";"133";"151";"15";"1";"2"
"727";"133";"163";"15";"1";"2"
"728";"133";"165";"15";"1";"2"
"729";"133";"143";"14";"1";"2"
"730";"133";"188";"17";"1";"2"
