"GMCODIGO";"DCMTCODIGO";"PARCODIGO";"GPMDESTADO";"INDOCODIGO"
"85";"69";"1";"1";"6"
"85";"69";"2";"1";"6"
"150";"74";"1";"0";"6"
"150";"74";"2";"0";"6"
"86";"71";"1";"1";"6"
"96";"72";"1";"1";"6"
"97";"77";"2";"0";"14"
"99";"78";"2";"0";"14"
"103";"76";"1";"0";"14"
"103";"76";"2";"0";"14"
"64";"75";"1";"1";"14"
"64";"75";"2";"1";"14"
"109";"79";"2";"0";"14"
"84";"77";"2";"1";"14"
"86";"78";"2";"1";"14"
"142";"82";"1";"1";"14"
"142";"82";"2";"1";"14"
"166";"80";"1";"1";"14"
"166";"80";"2";"1";"14"
"90";"76";"1";"1";"14"
"90";"76";"2";"1";"14"
"116";"81";"1";"1";"14"
"116";"81";"2";"1";"14"
"96";"79";"2";"1";"14"
"123";"85";"1";"0";"108"
"125";"86";"1";"0";"108"
"127";"84";"1";"0";"108"
"127";"84";"2";"0";"108"
"140";"89";"1";"1";"108"
"140";"89";"2";"1";"108"
"132";"83";"1";"0";"108"
"132";"83";"2";"0";"108"
"145";"88";"1";"1";"108"
"145";"88";"2";"1";"108"
"135";"87";"1";"0";"108"
"123";"91";"2";"0";"15"
"125";"92";"2";"0";"15"
"131";"90";"2";"0";"15"
"3";"95";"1";"1";"15"
"3";"95";"2";"1";"15"
"144";"94";"1";"1";"15"
"144";"94";"2";"1";"15"
"135";"93";"2";"0";"15"
"136";"102";"1";"1";"27"
"138";"103";"1";"1";"27"
"22";"96";"1";"1";"27"
"22";"96";"2";"1";"27"
"139";"101";"1";"1";"27"
"139";"101";"2";"1";"27"
"87";"99";"1";"1";"27"
"87";"99";"2";"1";"27"
"9";"97";"1";"1";"27"
"9";"97";"2";"1";"27"
"9";"97";"3";"1";"27"
"126";"100";"1";"0";"27"
"126";"100";"2";"0";"27"
"61";"98";"1";"1";"27"
"61";"98";"2";"1";"27"
"148";"104";"1";"1";"27"
"136";"107";"2";"1";"23"
"138";"108";"2";"1";"23"
"130";"105";"2";"0";"23"
"167";"110";"1";"1";"23"
"167";"110";"2";"1";"23"
"167";"110";"3";"1";"23"
"167";"110";"4";"1";"23"
"143";"106";"1";"1";"23"
"143";"106";"2";"1";"23"
"148";"109";"2";"1";"23"
"1";"114";"1";"1";"8"
"2";"115";"1";"1";"8"
"134";"111";"1";"0";"8"
"134";"111";"2";"0";"8"
"169";"116";"1";"1";"8"
"169";"116";"2";"1";"8"
"169";"116";"3";"1";"8"
"169";"116";"4";"1";"8"
"147";"112";"1";"1";"8"
"147";"112";"2";"1";"8"
"5";"113";"1";"1";"8"
"181";"117";"1";"1";"8"
"181";"117";"2";"1";"8"
"180";"123";"1";"1";"83"
"180";"123";"2";"1";"83"
"180";"123";"3";"1";"83"
"180";"123";"4";"1";"83"
"168";"122";"1";"1";"83"
"168";"122";"2";"1";"83"
"168";"122";"3";"1";"83"
"168";"122";"4";"1";"83"
"68";"118";"1";"1";"83"
"68";"118";"2";"1";"83"
"146";"121";"1";"1";"83"
"146";"121";"2";"1";"83"
"94";"119";"1";"1";"83"
"94";"119";"2";"1";"83"
"133";"120";"1";"0";"83"
"133";"120";"2";"0";"83"
"63";"124";"1";"1";"38"
"63";"124";"2";"1";"38"
"175";"129";"1";"1";"38"
"175";"129";"2";"1";"38"
"175";"129";"3";"1";"38"
"175";"129";"4";"1";"38"
"141";"127";"1";"1";"38"
"141";"127";"2";"1";"38"
"89";"125";"1";"1";"38"
"89";"125";"2";"1";"38"
"128";"126";"1";"0";"38"
"128";"126";"2";"0";"38"
"165";"128";"1";"1";"38"
"165";"128";"2";"1";"38"
"165";"128";"3";"1";"38"
"165";"128";"4";"1";"38"
"26";"130";"1";"1";"21"
"26";"130";"2";"1";"21"
"66";"131";"1";"1";"43"
"66";"131";"2";"1";"43"
"92";"132";"1";"1";"43"
"92";"132";"2";"1";"43"
"131";"133";"1";"0";"43"
"91";"136";"1";"1";"5"
"91";"136";"2";"1";"5"
"13";"134";"1";"1";"5"
"13";"134";"2";"1";"5"
"13";"134";"3";"1";"5"
"117";"137";"1";"1";"5"
"65";"135";"1";"1";"5"
"65";"135";"2";"1";"5"
"19";"144";"1";"0";"42"
"20";"140";"1";"0";"42"
"21";"145";"1";"0";"42"
"23";"141";"1";"0";"42"
"24";"142";"1";"0";"42"
"25";"139";"1";"0";"42"
"27";"147";"1";"0";"42"
"28";"138";"1";"0";"42"
"29";"143";"1";"0";"42"
"31";"146";"1";"0";"42"
"19";"155";"2";"0";"37"
"20";"151";"2";"0";"37"
"21";"156";"2";"0";"37"
"23";"152";"2";"0";"37"
"24";"153";"2";"0";"37"
"25";"150";"2";"0";"37"
"27";"148";"2";"0";"37"
"28";"149";"2";"0";"37"
"29";"154";"2";"0";"37"
"31";"157";"2";"0";"37"
"6";"165";"1";"0";"56"
"7";"161";"1";"0";"56"
"8";"166";"1";"0";"56"
"10";"162";"1";"0";"56"
"11";"163";"1";"0";"56"
"12";"160";"1";"0";"56"
"14";"158";"1";"0";"56"
"15";"159";"1";"0";"56"
"16";"164";"1";"0";"56"
"18";"167";"1";"0";"56"
"6";"175";"2";"0";"97"
"7";"171";"2";"0";"97"
"8";"176";"2";"0";"97"
"10";"172";"2";"0";"97"
"11";"173";"2";"0";"97"
"12";"170";"2";"0";"97"
"14";"168";"2";"0";"97"
"15";"169";"2";"0";"97"
"16";"174";"2";"0";"97"
"18";"177";"2";"0";"97"
"58";"181";"1";"0";"57"
"60";"182";"1";"0";"57"
"92";"179";"1";"0";"57"
"92";"179";"2";"0";"57"
"118";"180";"1";"0";"57"
"66";"178";"1";"0";"57"
"70";"183";"1";"0";"57"
"58";"185";"2";"0";"10"
"60";"186";"2";"0";"10"
"88";"190";"1";"0";"10"
"88";"190";"2";"0";"10"
"62";"188";"1";"0";"10"
"62";"188";"2";"0";"10"
"67";"184";"1";"0";"10"
"67";"184";"2";"0";"10"
"93";"189";"1";"0";"10"
"93";"189";"2";"0";"10"
"70";"187";"2";"0";"10"
"84";"193";"1";"0";"31"
"86";"194";"1";"0";"31"
"64";"191";"1";"0";"31"
"64";"191";"2";"0";"31"
"166";"198";"1";"0";"31"
"166";"198";"2";"0";"31"
"116";"196";"1";"0";"31"
"116";"196";"2";"0";"31"
"90";"192";"1";"0";"31"
"90";"192";"2";"0";"31"
"142";"197";"1";"0";"31"
"142";"197";"2";"0";"31"
"96";"195";"1";"0";"31"
"84";"201";"2";"0";"34"
"59";"199";"1";"0";"34"
"59";"199";"2";"0";"34"
"111";"204";"1";"0";"34"
"111";"204";"2";"0";"34"
"85";"200";"1";"0";"34"
"85";"200";"2";"0";"34"
"137";"205";"1";"0";"34"
"86";"202";"2";"0";"34"
"96";"203";"2";"0";"34"
"112";"211";"1";"0";"36"
"117";"209";"1";"0";"36"
"65";"207";"1";"0";"36"
"65";"207";"2";"0";"36"
"91";"208";"1";"0";"36"
"91";"208";"2";"0";"36"
"13";"206";"1";"0";"36"
"13";"206";"2";"0";"36"
"122";"212";"1";"0";"36"
"110";"210";"1";"0";"36"
"123";"210";"1";"1";"36"
"125";"211";"1";"1";"36"
"78";"207";"1";"1";"36"
"78";"207";"2";"1";"36"
"104";"208";"1";"1";"36"
"104";"208";"2";"1";"36"
"52";"206";"1";"1";"36"
"52";"206";"2";"1";"36"
"130";"209";"1";"1";"36"
"135";"212";"1";"1";"36"
"32";"144";"1";"1";"42"
"33";"140";"1";"1";"42"
"34";"145";"1";"1";"42"
"36";"141";"1";"1";"42"
"37";"142";"1";"1";"42"
"38";"139";"1";"1";"42"
"40";"147";"1";"1";"42"
"41";"138";"1";"1";"42"
"42";"143";"1";"1";"42"
"44";"146";"1";"1";"42"
"32";"155";"2";"1";"37"
"33";"151";"2";"1";"37"
"34";"156";"2";"1";"37"
"36";"152";"2";"1";"37"
"37";"153";"2";"1";"37"
"38";"150";"2";"1";"37"
"40";"148";"2";"1";"37"
"41";"149";"2";"1";"37"
"42";"154";"2";"1";"37"
"44";"157";"2";"1";"37"
"45";"165";"1";"1";"56"
"46";"161";"1";"1";"56"
"47";"166";"1";"1";"56"
"49";"162";"1";"1";"56"
"50";"163";"1";"1";"56"
"51";"160";"1";"1";"56"
"53";"158";"1";"1";"56"
"54";"159";"1";"1";"56"
"55";"164";"1";"1";"56"
"57";"167";"1";"1";"56"
"45";"175";"2";"1";"97"
"46";"171";"2";"1";"97"
"47";"176";"2";"1";"97"
"49";"172";"2";"1";"97"
"50";"173";"2";"1";"97"
"51";"170";"2";"1";"97"
"53";"168";"2";"1";"97"
"54";"169";"2";"1";"97"
"55";"174";"2";"1";"97"
"57";"177";"2";"1";"97"
"71";"181";"1";"1";"57"
"73";"182";"1";"1";"57"
"131";"180";"1";"1";"57"
"79";"178";"1";"1";"57"
"105";"179";"1";"1";"57"
"105";"179";"2";"1";"57"
"83";"183";"1";"1";"57"
"71";"185";"2";"1";"10"
"73";"186";"2";"1";"10"
"75";"188";"1";"1";"10"
"75";"188";"2";"1";"10"
"101";"190";"1";"1";"10"
"101";"190";"2";"1";"10"
"80";"184";"1";"1";"10"
"80";"184";"2";"1";"10"
"106";"189";"1";"1";"10"
"106";"189";"2";"1";"10"
"83";"187";"2";"1";"10"
"97";"193";"1";"1";"31"
"99";"194";"1";"1";"31"
"77";"191";"1";"1";"31"
"77";"191";"2";"1";"31"
"129";"196";"1";"1";"31"
"129";"196";"2";"1";"31"
"103";"192";"1";"1";"31"
"103";"192";"2";"1";"31"
"155";"197";"1";"1";"31"
"155";"197";"2";"1";"31"
"109";"195";"1";"1";"31"
"97";"201";"2";"1";"34"
"72";"199";"1";"1";"34"
"72";"199";"2";"1";"34"
"124";"204";"1";"1";"34"
"124";"204";"2";"1";"34"
"98";"200";"1";"1";"34"
"98";"200";"2";"1";"34"
"150";"205";"1";"1";"34"
"99";"202";"2";"1";"34"
"109";"203";"2";"1";"34"
"117";"105";"2";"1";"23"
"123";"213";"2";"1";"107"
"125";"214";"2";"1";"107"
"135";"215";"2";"1";"107"
"149";"220";"1";"1";"100"
"151";"221";"1";"1";"100"
"153";"219";"1";"1";"100"
"153";"219";"2";"1";"100"
"127";"217";"1";"1";"100"
"127";"217";"2";"1";"100"
"132";"216";"1";"1";"100"
"132";"216";"2";"1";"100"
"158";"218";"1";"1";"100"
"158";"218";"2";"1";"100"
"161";"222";"1";"1";"100"
"149";"225";"2";"1";"32"
"151";"226";"2";"1";"32"
"131";"223";"1";"1";"32"
"131";"223";"2";"1";"32"
"157";"224";"1";"1";"32"
"157";"224";"2";"1";"32"
"161";"227";"2";"1";"32"
"39";"229";"1";"1";"87"
"39";"229";"2";"1";"87"
"130";"230";"2";"1";"61"
"156";"231";"1";"1";"61"
"156";"231";"2";"1";"61"
"76";"232";"1";"1";"18"
"76";"232";"2";"1";"18"
"154";"235";"1";"1";"18"
"154";"235";"2";"1";"18"
"102";"233";"1";"1";"18"
"102";"233";"2";"1";"18"
"128";"234";"1";"1";"18"
"128";"234";"2";"1";"18"
"43";"237";"1";"1";"81"
"43";"237";"2";"1";"81"
"108";"240";"1";"1";"81"
"108";"240";"2";"1";"81"
"56";"238";"1";"1";"81"
"56";"238";"2";"1";"81"
"134";"241";"1";"1";"81"
"82";"239";"1";"1";"81"
"82";"239";"2";"1";"81"
"134";"242";"2";"1";"41"
"160";"243";"1";"1";"41"
"160";"243";"2";"1";"41"
"150";"244";"2";"1";"28"
"152";"250";"1";"1";"55"
"152";"250";"2";"1";"55"
"100";"248";"1";"1";"55"
"100";"248";"2";"1";"55"
"48";"246";"1";"1";"55"
"48";"246";"2";"1";"55"
"126";"249";"1";"1";"55"
"126";"249";"2";"1";"55"
"74";"247";"1";"1";"55"
"74";"247";"2";"1";"55"
"35";"245";"1";"1";"55"
"35";"245";"2";"1";"55"
"159";"254";"1";"1";"65"
"159";"254";"2";"1";"65"
"107";"252";"1";"1";"65"
"107";"252";"2";"1";"65"
"133";"253";"1";"1";"65"
"133";"253";"2";"1";"65"
"81";"251";"1";"1";"65"
"81";"251";"2";"1";"65"
"110";"85";"1";"1";"108"
"112";"86";"1";"1";"108"
"114";"84";"1";"1";"108"
"114";"84";"2";"1";"108"
"119";"83";"1";"1";"108"
"119";"83";"2";"1";"108"
"122";"87";"1";"1";"108"
"6";"41";"1";"1";"26"
"7";"37";"1";"1";"26"
"8";"42";"1";"1";"26"
"10";"38";"1";"1";"26"
"11";"39";"1";"1";"26"
"12";"36";"1";"1";"26"
"14";"34";"1";"1";"26"
"15";"35";"1";"1";"26"
"16";"40";"1";"1";"26"
"18";"43";"1";"1";"26"
"6";"51";"2";"1";"68"
"7";"47";"2";"1";"68"
"8";"52";"2";"1";"68"
"10";"48";"2";"1";"68"
"11";"49";"2";"1";"68"
"12";"46";"2";"1";"68"
"14";"44";"2";"1";"68"
"15";"45";"2";"1";"68"
"16";"50";"2";"1";"68"
"18";"53";"2";"1";"68"
"17";"62";"1";"1";"54"
"17";"62";"2";"1";"54"
"137";"74";"1";"1";"6"
"137";"74";"2";"1";"6"
"110";"91";"2";"1";"15"
"112";"92";"2";"1";"15"
"118";"90";"2";"1";"15"
"122";"93";"2";"1";"15"
"113";"100";"1";"1";"27"
"113";"100";"2";"1";"27"
"120";"120";"1";"1";"83"
"120";"120";"2";"1";"83"
"121";"111";"1";"1";"8"
"121";"111";"2";"1";"8"
"118";"133";"1";"1";"43"
"115";"126";"1";"1";"38"
"115";"126";"2";"1";"38"
